kategorie,todo,aufwand,zeitraum
Niedrigschwellig,Ruf heute jemanden an mit dem du politisch nicht einer Meinung bist – und hör wirklich zu.,gering,heute
Niedrigschwellig,Lies den Wikipedia-Artikel zu einer Politikerin oder einem Politiker über die du bisher nur Meinungen gehört hast.,gering,heute
Niedrigschwellig,Finde heraus wer deine Bürgermeisterin oder dein Bürgermeister ist.,gering,heute
Niedrigschwellig,Schreib einer lokalen Initiative eine Nachricht und sag dass du ihre Arbeit gut findest.,gering,heute
Niedrigschwellig,Lies heute eine Zeitung die du sonst nie liest.,gering,heute
Niedrigschwellig,Schau nach wann die nächste Sitzung deines Gemeinderats stattfindet.,gering,heute
Niedrigschwellig,Frag drei Menschen in deinem Umfeld: Was nervt dich gerade an der Politik?,gering,diese Woche
Niedrigschwellig,Erkläre einem Kind unter 10 Jahren was Demokratie bedeutet.,gering,diese Woche
Niedrigschwellig,Lies Artikel 1 bis 20 des Grundgesetzes – heute Abend.,gering,heute
Niedrigschwellig,Folge auf Social Media einer politischen Stimme die du noch nicht kennst.,gering,heute
Niedrigschwellig,Stell deinen Newsfeed für eine Woche auf eine andere Zeitung oder einen anderen Sender um.,gering,diese Woche
Niedrigschwellig,Hör einen Podcast über ein politisches Thema das dich eigentlich wenig interessiert.,gering,diese Woche
Niedrigschwellig,Prüf ob du korrekt im Wählerverzeichnis eingetragen bist.,gering,heute
Niedrigschwellig,Recherchiere welche Bürgerrechte du hast die du noch nie genutzt hast.,gering,diese Woche
Niedrigschwellig,Teile einen Artikel den du wirklich gut findest – mit einem kurzen Kommentar warum.,gering,heute
Niedrigschwellig,Finde heraus welche politischen Entscheidungen gerade in deiner Stadt diskutiert werden.,gering,heute
Niedrigschwellig,Mach den Wahl-O-Mat oder einen ähnlichen Orientierungstest – auch außerhalb von Wahlkampfzeiten.,gering,heute
Niedrigschwellig,Schau welche Vereine oder Initiativen in deiner Straße oder deinem Kiez aktiv sind.,gering,heute
Niedrigschwellig,Lies die Satzung deines Lieblingsclubs oder -vereins und finde heraus wie Entscheidungen dort getroffen werden.,gering,diese Woche
Niedrigschwellig,Schau dir eine Landtagsdebatte oder Bundestagsdebatte auf YouTube an – auch nur 15 Minuten.,gering,heute
Diese Woche,Geh zu einer öffentlichen Veranstaltung die du normalerweise meiden würdest.,mittel,diese Woche
Diese Woche,Unterschreibe eine Petition – oder lies eine bevor du sie ablehnst.,gering,diese Woche
Diese Woche,Sprich mit einer älteren Person über ihre erste Wahl.,gering,diese Woche
Diese Woche,Melde dich für einen Termin in deiner lokalen Gedenkstätte an.,gering,diese Woche
Diese Woche,Recherchiere ob du in deiner Stadt wählen darfst – und wenn nicht warum nicht.,gering,diese Woche
Diese Woche,Schreib einen Leserbrief an eine lokale Zeitung – auch wenn du ihn nicht abschickst.,mittel,diese Woche
Diese Woche,Such dir ein politisches Thema das du wirklich nicht verstehst und lies dich eine Stunde lang ein.,mittel,diese Woche
Diese Woche,Finde einen Menschen der nie wählt und frag ihn warum – ohne zu urteilen.,gering,diese Woche
Diese Woche,Geh in eine Buchhandlung und kauf ein Buch über ein politisches Thema das dich herausfordert.,mittel,diese Woche
Diese Woche,Schau wann du das letzte Mal an einer Demo oder öffentlichen Kundgebung teilgenommen hast – und warum nicht öfter.,gering,diese Woche
Diese Woche,Finde heraus welche EU-Abgeordneten deine Region vertreten.,gering,diese Woche
Diese Woche,Lies das Programm einer Partei die du normalerweise nicht wählen würdest – ohne Vorurteil.,mittel,diese Woche
Diese Woche,Schau welche Förderprogramme oder Bürgerbeteiligungsangebote deine Stadt gerade anbietet.,gering,diese Woche
Diese Woche,Finde heraus wer in deinem Wahlkreis kandidiert – und ob du eine Person persönlich kennst.,gering,diese Woche
Diese Woche,Lad jemanden ein der alleine wohnt um gemeinsam eine politische Sendung zu schauen und danach zu reden.,mittel,diese Woche
Längerfristig,Besuche eine Stadtratssitzung.,mittel,nächster Monat
Längerfristig,Tritt einer Partei Initiative oder einem Verein bei – probeweise für einen Monat.,hoch,nächster Monat
Längerfristig,Bewirb dich als Wahlhelferin oder Wahlhelfer bei der nächsten Wahl.,mittel,nächster Monat
Längerfristig,Schreib deiner Bundestagsabgeordneten einen Brief – per Post mit Briefmarke.,mittel,nächster Monat
Längerfristig,Starte eine Nachbarschaftsgruppe zu einem konkreten Thema das dich beschäftigt.,hoch,nächster Monat
Längerfristig,Mach einen Erste-Hilfe-Kurs für politische Debatten: lern wie man Falschinformationen erkennt.,mittel,nächster Monat
Längerfristig,Engagiere dich einmal ehrenamtlich in einer sozialen Einrichtung in deiner Stadt.,hoch,nächster Monat
Längerfristig,Nimm an einer Bürgerversammlung oder einem Bürgerrat teil.,mittel,nächster Monat
Längerfristig,Schreib deinen eigenen Leitartikel über etwas das dich wirklich stört – und zeig ihn jemandem.,mittel,nächster Monat
Längerfristig,Finde heraus ob du in deiner Stadt eine Bürgerinitiative gründen kannst und was dazu nötig wäre.,mittel,nächster Monat
Längerfristig,Engagiere dich einmal in der Schulpolitik – geh zu einer Schulkonferenz oder einem Elternabend.,mittel,nächster Monat
Längerfristig,Lern jemanden kennen der aus einem anderen Land kommt und frag ihn was er an der deutschen Demokratie bemerkenswert findet.,gering,nächster Monat
Überraschend,Lass jemand anderen die Fernbedienung wählen – und diskutiert danach über das Gesehene.,gering,heute
Überraschend,Finde heraus welche Steuern du letztes Jahr gezahlt hast – und wofür sie ausgegeben wurden.,mittel,diese Woche
Überraschend,Mach ein Foto von etwas in deiner Stadt das du verändern würdest – und schick es ans Stadtplanungsamt.,gering,diese Woche
Überraschend,Lern den Namen deiner Nachbarin oder deines Nachbarn kennen falls du ihn noch nicht kennst.,gering,heute
Überraschend,Geh in ein Café das du noch nie besucht hast und sprich die Person neben dir an.,gering,heute
Überraschend,Schreib auf was du an deinem Land gut findest – ohne Ironie.,gering,heute
Überraschend,Recherchiere eine demokratische Bewegung aus einem anderen Land die du nicht kennst.,gering,diese Woche
Überraschend,Finde heraus ob es in deiner Straße eine Geschichte gibt die du noch nicht kennst.,gering,diese Woche
Überraschend,Kauf heute etwas in einem lokalen Laden statt online.,gering,heute
Überraschend,Sag einer Person in deinem Leben dass du ihre politische Meinung respektierst – auch wenn du anderer Meinung bist.,gering,heute
Überraschend,Stell dir vor du hättest kein Wahlrecht – was würde das für dich bedeuten? Schreib es auf.,gering,heute
Überraschend,Finde heraus wie viele Menschen in deiner Stadt nicht wählen dürfen – und warum.,gering,diese Woche
Überraschend,Lad eine Person zu einer politischen Veranstaltung ein die eigentlich nie hingeht.,mittel,diese Woche
